gender;d_age;attractive_o;sinsere_o;intelligence_o;funny_o;ambitous_o;attractive_partner;sincere_partner;intelligence_partner;funny_partner;ambition_partner;exercise;clubbing;tv;shopping;interests_correlate;like;match
1;4;9;9;10;9;8;8;8;8;7;7;8;1;3;4;24;8;1
0;10;8;8;9;8;8;9;8;8;8;7;8;1;1;2;23;8;1
1;3;10;9;10;10;10;5;10;8;10;6;10;1;10;10;22;8;1
1;1;8;7;9;8;9;8;7;8;6;10;8;1;3;4;22;8;1
0;2;9;9;9;9;9;8;7;8;8;7;8;8;5;2;22;8;1
0;3;5;6;7;7;6;8;7;9;6;9;9;9;6;2;21;8;1
0;4;6;8;9;6;6;8;6;7;8;6;9;6;2;2;21;8;1
0;4;6;9;10;7;10;8;9;9;8;8;2;1;1;2;21;8;1
1;6;7;7;9;8;9;7;8;8;8;8;9;1;2;5;19;8;1
0;4;8;8;7;7;7;9;8;8;8;8;10;7;10;1;19;8;1
1;1;6;5;7;7;6;5;10;9;7;7;1;3;4;9;18;8;1
1;0;8;8;10;5;6;7;9;9;9;9;9;9;9;8;18;8;1
1;1;8;8;8;8;9;8;9;9;8;9;8;8;5;7;18;8;1
1;3;7;9;9;9;9;6;8;8;10;9;10;8;6;6;18;8;1
0;1;8;9;9;8;9;8;8;8;8;9;10;3;9;3;18;8;1
0;2;6;10;9;10;8;7;9;8;8;5;1;3;6;2;18;8;1
0;4;9;9;9;8;9;9;6;7;5;6;8;2;4;1;18;8;1
1;5;9;7;7;8;6;5;8;8;8;8;7;6;7;7;17;8;1
0;1;7;7;7;7;7;8;9;10;10;8;6;4;5;6;17;8;1
0;5;5;8;8;8;8;9;7;7;8;6;5;5;6;4;17;8;1
0;1;5;3;6;7;10;8;7;7;6;6;8;8;3;6;16;8;1
0;6;5;8;8;7;4;8;8;8;8;7;9;8;4;3;15;8;1
1;2;5;10;9;9;9;8;10;8;9;8;2;9;9;9;14;8;1
0;4;8;10;10;10;10;8;8;8;7;8;10;3;6;4;14;8;1
1;9;6;8;6;7;7;7;9;9;8;9;6;2;7;3;14;8;1
1;5;7;7;7;8;7;9;8;7;8;5;1;6;7;2;14;8;1
1;2;6;7;8;8;9;6;8;8;8;7;7;5;7;2;14;8;1
0;6;4;8;7;8;5;8;7;7;7;7;8;8;6;7;13;8;1
1;6;8;7;7;7;7;4;8;7;8;5;10;6;4;6;13;8;1
0;1;10;10;10;10;10;9;8;8;8;6;6;5;3;2;13;8;1
0;5;10;9;10;10;10;8;10;10;2;8;10;4;7;10;12;8;1
1;6;10;8;10;8;10;8;10;10;9;9;9;8;8;9;12;8;1
0;1;7;7;8;7;7;8;8;8;8;8;8;8;8;6;12;8;1
1;1;6;10;8;8;6;7;10;10;7;10;8;9;8;8;11;8;1
0;4;7;6;8;9;4;8;6;9;9;8;10;9;1;7;11;8;1
0;1;7;10;10;7;10;6;10;8;8;6;8;2;4;1;11;8;1
1;2;6;5;7;7;5;6;10;9;10;7;9;1;9;10;9;8;1
0;7;7;8;8;9;7;7;8;8;8;9;8;8;10;8;9;8;1
0;6;9;9;9;9;9;9;6;9;9;9;8;9;2;8;9;8;1
0;6;8;7;8;9;6;9;8;7;8;7;9;8;4;3;9;8;1
1;2;6;8;6;8;10;8;5;5;7;7;7;8;8;8;8;8;1
1;4;5;7;9;6;8;9;8;9;8;10;9;6;7;7;8;8;1
0;3;4;7;9;7;8;8;8;8;9;8;1;7;4;7;8;8;1
1;8;9;9;9;9;9;8;9;9;10;9;8;9;4;6;8;8;1
1;3;8;8;8;9;8;4;7;9;7;8;10;6;4;6;8;8;1
1;9;7;8;7;8;8;4;8;6;8;7;10;6;4;6;8;8;1
1;2;6;9;8;8;8;8;8;8;8;7;3;4;6;5;8;8;1
1;2;8;8;8;8;7;9;8;8;7;7;8;6;3;5;8;8;1
0;8;8;9;9;10;9;9;9;9;9;9;4;7;1;1;8;8;1
1;5;9;6;8;7;10;8;10;10;10;10;9;8;8;9;7;8;1
0;3;4;7;9;9;10;8;6;7;7;7;9;5;3;5;7;8;1
1;4;8;9;8;7;8;9;9;9;10;10;9;8;8;9;6;8;1
0;6;6;8;8;7;7;8;8;7;7;7;9;9;5;8;6;8;1
0;1;8;8;8;8;8;8;7;8;8;8;4;8;4;8;6;8;1
1;1;8;7;8;8;8;8;8;8;8;8;7;9;6;7;6;8;1
1;3;9;8;8;7;8;8;7;8;8;8;5;5;7;6;6;8;1
0;4;9;9;9;10;10;8;9;8;7;8;7;9;6;6;6;8;1
0;4;7;8;9;6;9;9;8;9;6;6;7;8;6;6;6;8;1
0;4;7;9;9;7;9;9;10;8;6;8;2;2;5;5;6;8;1
0;0;7;10;10;6;8;7;9;8;8;7;1;8;2;5;6;8;1
1;4;9;8;9;6;6;7;8;9;6;9;6;5;4;4;6;8;1
1;2;8;9;8;8;7;7;8;9;7;8;6;5;4;4;6;8;1
1;1;10;9;9;9;9;9;9;9;9;8;8;6;7;3;6;8;1
1;9;6;10;8;7;7;6;8;10;8;10;10;1;6;2;6;8;1
0;2;7;8;9;7;8;8;9;8;8;7;8;6;1;2;6;8;1
0;7;9;3;10;9;10;8;7;7;8;6;4;9;3;6;5;8;1
0;1;8;7;8;8;7;7;9;9;7;9;10;5;5;3;5;8;1
0;6;8;7;7;7;7;7;8;9;8;7;8;3;5;3;5;8;1
1;6;7;8;9;8;7;8;7;7;7;7;1;6;7;2;5;8;1
1;2;8;8;6;8;8;7;7;8;9;10;8;8;6;9;4;8;1
1;3;8;7;6;7;7;8;7;8;8;8;6;7;6;6;4;8;1
0;4;7;6;6;8;7;7;8;6;8;6;8;8;3;6;4;8;1
0;2;7;8;7;8;8;6;7;7;7;7;7;6;8;5;4;8;1
0;3;5;10;10;9;10;6;9;9;9;7;9;3;7;5;4;8;1
1;8;9;9;9;9;9;8;8;8;8;8;5;3;3;5;4;8;1
0;2;7;7;8;9;10;8;8;6;8;8;8;6;7;2;4;8;1
1;4;7;10;9;6;6;7;7;7;9;7;10;5;8;7;3;8;1
1;5;7;7;8;8;5;9;9;9;8;8;7;8;7;7;3;8;1
1;2;7;8;7;7;6;7;9;8;9;7;7;8;7;7;3;8;1
0;4;10;10;10;10;10;8;8;10;7;6;9;5;6;5;3;8;1
1;2;7;8;7;6;6;5;7;9;6;8;8;9;3;4;3;8;1
1;0;7;7;8;8;6;9;8;8;9;8;5;9;7;9;2;8;1
0;4;6;9;9;7;7;8;7;7;8;7;4;8;4;8;2;8;1
1;5;7;8;9;8;7;8;9;9;9;9;4;7;3;8;2;8;1
1;4;8;7;7;8;7;6;9;9;7;7;10;7;9;5;2;8;1
0;4;8;7;8;7;8;8;7;8;8;7;8;8;5;2;2;8;1
1;6;7;6;6;9;8;8;9;8;9;7;4;8;10;10;1;8;1
1;1;10;10;10;10;10;7;7;8;9;10;6;9;1;10;1;8;1
1;1;8;8;8;6;9;8;8;9;9;8;9;9;9;8;1;8;1
0;2;8;10;7;10;9;7;10;7;10;6;6;9;8;7;1;8;1
0;6;8;9;8;9;7;7;6;6;9;8;8;8;6;7;1;8;1
1;1;6;7;7;6;5;8;7;7;7;7;4;1;6;7;1;8;1
1;4;6;8;8;7;3;9;7;8;9;8;8;5;6;6;1;8;1
1;1;6;10;9;8;8;7;10;10;6;3;7;1;3;6;1;8;1
0;2;7;9;9;8;6;8;8;8;8;8;10;8;5;5;1;8;1
0;4;9;7;8;9;8;6;8;8;7;3;4;1;6;4;1;8;1
0;3;9;9;9;10;9;8;6;8;9;5;7;6;2;3;1;8;1
0;1;9;8;8;7;8;8;10;9;8;8;6;1;8;2;1;8;1
0;1;8;8;9;9;8;8;8;8;6;9;5;7;4;2;1;8;1
0;7;7;5;7;7;7;8;7;7;9;6;8;1;4;10;0;8;1
0;1;10;10;10;10;10;8;6;7;8;8;4;9;3;6;0;8;1
1;1;8;8;7;7;10;4;5;8;8;10;4;3;1;5;0;8;1
0;1;4;5;8;8;10;8;8;7;7;10;5;7;5;2;0;8;1
0;1;8;7;8;6;5;8;8;10;10;8;7;3;3;2;0;8;1
1;3;8;6;7;6;7;7;8;9;7;8;9;9;9;8;-1;8;1
1;1;9;8;8;10;9;9;8;8;8;8;8;8;7;8;-1;8;1
1;1;7;6;6;6;6;6;9;8;9;7;8;10;5;7;-1;8;1
0;1;6;9;8;9;7;7;6;6;6;6;9;7;2;6;-1;8;1
0;0;7;7;7;7;5;8;8;8;8;8;10;8;5;5;-1;8;1
0;7;9;7;8;6;7;8;7;7;8;2;4;1;6;4;-1;8;1
0;1;9;8;8;8;8;9;8;8;10;9;9;1;2;2;-1;8;1
1;3;8;7;8;8;8;8;8;8;8;8;9;9;9;8;-2;8;1
0;5;9;10;10;10;9;8;7;7;9;8;4;8;4;8;-2;8;1
0;3;8;8;8;8;8;8;7;8;8;8;3;4;5;7;-2;8;1
1;1;8;7;8;6;6;9;8;8;8;8;8;5;6;6;-2;8;1
1;8;7;6;5;6;6;8;8;8;8;8;5;3;3;5;-2;8;1
0;4;6;7;8;6;7;8;8;8;8;9;8;5;3;3;-2;8;1
1;1;6;9;9;6;8;9;7;8;8;8;5;6;6;9;-3;8;1
1;4;7;8;8;8;8;6;8;8;8;8;7;8;5;9;-3;8;1
1;1;8;10;8;9;9;7;10;10;9;10;10;9;10;7;-3;8;1
0;8;4;10;10;10;7;6;8;8;8;8;1;7;4;7;-3;8;1
0;1;7;10;10;9;10;8;10;8;9;9;10;8;3;3;-3;8;1
0;1;7;8;8;7;8;10;10;10;8;9;9;0;7;2;-3;8;1
0;1;9;9;9;9;7;8;7;8;10;8;9;1;5;8;-4;8;1
0;2;8;6;5;6;6;8;8;8;8;8;8;8;7;6;-4;8;1
1;4;8;8;8;8;6;10;9;8;8;7;4;7;1;1;-4;8;1
0;1;6;9;9;10;9;8;8;7;7;7;3;3;3;3;-5;8;1
1;1;7;7;8;6;9;8;7;7;6;7;6;5;8;9;-6;8;1
0;0;9;9;9;9;6;7;7;7;9;8;4;4;6;9;-6;8;1
1;2;8;8;8;8;8;9;8;8;8;8;8;8;7;8;-6;8;1
0;2;9;8;8;8;8;8;8;8;8;8;8;9;4;6;-6;8;1
1;2;7;5;5;4;2;7;9;10;7;10;7;6;7;5;-6;8;1
0;0;6;7;6;7;5;9;9;9;9;9;10;8;5;5;-6;8;1
0;1;6;6;7;9;8;10;8;9;10;9;2;1;3;1;-6;8;1
0;2;10;9;9;9;8;8;7;8;8;9;7;9;6;6;-7;8;1
0;2;8;7;7;7;7;8;7;8;7;8;7;9;6;6;-7;8;1
1;3;6;8;7;7;8;5;9;10;8;10;10;9;10;7;-8;8;1
1;5;7;7;7;9;8;9;8;9;7;8;6;7;6;7;-8;8;1
1;2;6;8;8;8;6;8;7;8;7;9;2;6;4;5;-8;8;1
0;5;9;8;9;7;8;7;7;7;9;8;5;7;4;2;-8;8;1
1;8;7;10;9;7;7;8;10;9;10;9;3;6;6;10;-9;8;1
1;2;7;7;7;8;8;8;9;9;8;9;5;3;7;6;-9;8;1
1;3;6;8;7;5;6;8;8;8;8;8;7;8;5;9;-11;8;1
1;3;8;8;10;7;6;8;7;7;9;6;1;10;10;8;-11;8;1
0;3;7;10;10;10;10;8;8;7;7;7;7;8;1;2;-11;8;1
0;1;6;7;8;7;6;9;8;7;8;9;7;5;7;8;-13;8;1
1;0;9;7;6;10;8;9;10;9;8;8;8;8;2;8;-13;8;1
0;0;9;10;9;8;8;9;7;6;10;8;7;3;3;2;-13;8;1
1;2;7;7;7;7;7;10;8;8;8;9;6;7;8;5;-14;8;1
1;8;7;7;7;7;7;6;9;10;9;9;10;9;10;7;-15;8;1
1;4;10;10;10;10;10;7;8;8;8;5;7;7;3;6;-15;8;1
0;1;8;9;9;9;9;8;8;8;8;8;7;5;8;5;-15;8;1
0;4;5;7;5;4;5;6;8;9;8;8;6;6;7;5;-15;8;1
0;5;8;8;8;6;8;7;7;7;5;5;8;9;4;6;-16;8;1
0;3;7;7;7;6;6;8;8;8;10;7;8;7;1;6;-17;8;1
0;1;5;7;8;7;8;9;8;9;9;9;3;7;3;4;-17;8;1
0;2;7;9;9;6;5;6;9;7;6;6;5;1;7;2;-17;8;1
0;0;8;10;7;10;7;7;7;7;9;9;8;8;7;6;-18;8;1
1;3;6;7;7;5;7;8;8;9;9;9;8;5;6;6;-18;8;1
1;0;7;7;7;9;9;8;10;7;10;7;6;7;7;1;-18;8;1
1;5;7;8;6;7;7;7;8;9;6;9;1;5;8;10;-19;8;1
0;5;7;8;9;6;9;7;8;6;7;7;9;5;5;5;-19;8;1
1;5;8;8;9;10;4;8;8;8;8;8;9;5;9;9;-21;8;1
1;1;8;10;9;9;8;7;6;8;7;9;1;10;10;8;-21;8;1
1;2;8;7;7;7;5;6;4;8;9;9;6;7;6;6;-21;8;1
0;1;7;6;8;7;9;8;10;9;9;8;10;10;3;5;-21;8;1
1;4;8;7;6;6;7;8;8;8;8;8;7;4;9;6;-22;8;1
1;0;8;9;9;8;10;8;7;7;8;8;6;5;4;4;-22;8;1
0;4;6;5;6;5;6;8;7;7;7;4;7;3;5;1;-23;8;1
1;3;9;8;8;6;7;8;10;9;10;8;8;10;5;7;-24;8;1
0;3;8;10;9;10;8;9;8;8;6;7;8;6;7;5;-24;8;1
0;0;7;10;10;10;10;8;8;10;9;7;6;7;6;5;-24;8;1
1;2;10;7;9;10;8;10;6;7;8;8;8;9;3;4;-24;8;1
0;1;3;9;9;5;7;7;9;8;8;6;6;6;7;5;-27;8;1
1;1;6;7;7;7;6;6;7;8;9;8;9;8;1;5;-27;8;1
0;4;7;8;9;9;9;10;10;10;5;8;9;0;7;2;-28;8;1
1;2;9;9;9;9;9;7;7;7;9;7;8;9;3;4;-29;8;1
1;6;10;10;10;10;10;9;8;9;7;10;7;7;7;6;-32;8;1
0;6;9;8;9;7;10;10;10;10;10;10;9;0;7;2;-32;8;1
0;5;7;8;6;6;7;10;9;9;9;9;9;0;7;2;-32;8;1
1;4;5;7;7;9;9;8;8;9;9;8;6;6;7;10;-33;8;1
0;2;8;7;8;7;6;8;8;7;7;7;10;3;2;3;-33;8;1
1;1;6;9;8;6;8;10;9;9;8;8;5;5;9;9;-34;8;1
0;2;10;10;10;10;7;9;10;5;7;3;5;1;2;1;-35;8;1
0;2;9;9;9;8;5;8;7;7;8;8;5;7;5;2;-36;8;1
0;3;9;9;9;9;9;8;8;8;8;8;10;8;5;5;-44;8;1
1;1;8;8;9;8;9;7;8;8;7;7;4;8;8;10;-46;8;1
0;1;7;8;8;7;7;8;8;9;8;9;8;8;7;6;-46;8;1
0;5;9;8;10;10;7;7;7;7;10;9;10;9;1;7;-47;8;1
0;3;8;8;5;9;8;8;7;8;10;8;10;9;1;7;-47;8;1
0;7;6;9;8;8;8;6;6;8;7;7;6;7;8;2;-47;8;1
1;5;7;7;7;10;9;9;8;10;10;7;6;7;7;1;-47;8;1
0;4;7;9;9;7;9;10;10;10;10;10;9;0;7;2;-49;8;1
1;3;5;7;7;8;5;7;8;7;7;7;6;8;5;7;-57;8;1
0;1;7;8;8;6;7;9;7;8;8;9;5;7;5;2;-57;8;1
0;4;10;10;10;10;10;8;8;9;8;7;8;6;2;4;-59;8;1
1;1;7;6;7;6;4;8;8;8;8;8;6;7;6;6;-63;8;1
1;17;9;8;9;9;5;8;8;8;9;9;8;7;7;7;-83;8;1
1;7;6;7;8;8;9;8;7;8;8;8;3;6;3;4;79;7;1
0;2;6;8;8;9;8;8;8;6;6;6;9;10;2;10;77;7;1
1;2;8;8;6;6;6;6;8;8;9;8;8;10;5;7;77;7;1
0;1;6;5;7;7;7;8;8;8;8;8;7;6;8;10;76;7;1
0;0;10;9;10;10;10;8;8;7;7;7;9;10;2;10;76;7;1
1;8;7;8;9;8;8;4;0;8;7;7;9;9;1;5;76;7;1
0;8;4;0;8;7;7;7;8;9;8;8;4;5;3;2;76;7;1
0;3;6;7;7;7;5;7;10;8;8;7;2;2;5;5;73;7;1
1;3;7;10;8;8;7;6;7;7;7;5;1;6;7;2;73;7;1
1;1;7;7;9;7;6;7;8;8;8;7;7;5;7;2;73;7;1
1;2;7;8;9;9;8;8;9;8;7;8;1;3;4;9;72;7;1
0;2;8;9;8;7;8;7;8;9;9;8;4;1;7;8;72;7;1
1;3;8;9;8;8;8;6;7;7;6;8;4;5;2;3;71;7;1
0;6;5;4;5;6;6;7;8;9;8;8;7;6;8;10;67;7;1
0;1;7;7;7;6;9;7;8;7;8;7;8;2;1;6;67;7;1
1;1;7;8;7;8;7;7;7;7;6;9;5;9;1;1;67;7;1
1;7;7;6;5;6;5;5;8;8;9;8;5;9;8;9;65;7;1
1;1;8;8;7;8;6;8;10;10;9;8;9;8;8;9;65;7;1
0;1;8;10;10;8;10;7;7;7;5;7;8;2;4;1;65;7;1
1;3;7;9;8;7;5;7;7;8;7;6;6;6;2;6;63;7;1
1;1;7;7;8;7;7;4;8;8;7;8;3;8;2;4;63;7;1
0;1;4;8;8;7;8;7;7;8;7;7;5;2;2;2;63;7;1
0;3;7;7;8;7;6;7;9;8;7;5;8;6;1;2;63;7;1
0;2;5;5;7;7;7;7;7;7;7;7;1;7;4;7;62;7;1
1;0;10;10;8;7;8;6;7;8;8;8;5;5;7;6;62;7;1
1;2;7;7;8;7;8;7;9;9;8;8;7;3;6;5;62;7;1
0;0;6;7;8;8;8;10;10;8;7;8;2;2;5;5;62;7;1
0;3;8;8;7;8;8;8;9;10;5;9;6;1;8;2;62;7;1
0;2;7;9;9;8;8;7;7;8;7;8;5;2;2;2;62;7;1
1;2;7;8;9;8;9;7;6;8;7;6;8;5;9;8;61;7;1
0;2;7;6;8;7;6;7;8;9;8;9;8;8;7;6;61;7;1
1;3;8;8;8;7;8;6;7;8;8;8;5;5;7;6;61;7;1
1;0;10;8;8;9;9;8;7;7;8;7;8;9;4;6;61;7;1
1;2;8;7;8;9;8;7;7;7;8;7;6;8;6;9;59;7;1
1;1;6;7;8;8;8;7;7;7;7;7;5;9;5;5;59;7;1
0;2;7;10;10;6;10;7;10;8;8;8;2;2;5;5;59;7;1
0;1;10;10;10;10;10;5;8;7;8;5;5;6;5;4;59;7;1
1;2;10;9;9;9;9;9;10;8;6;7;7;1;3;6;58;7;1
0;1;8;9;9;9;9;7;7;7;7;6;7;6;2;3;58;7;1
1;4;9;8;7;8;7;7;8;9;7;8;8;5;8;8;57;7;1
1;0;8;8;8;8;8;5;5;5;8;5;1;3;5;10;56;7;1
0;1;2;8;8;8;7;8;7;8;8;7;4;9;9;8;56;7;1
0;6;4;7;8;10;7;8;8;7;7;7;8;3;5;4;56;7;1
0;0;9;9;9;8;8;7;7;7;6;7;8;8;3;3;56;7;1
0;9;7;6;6;5;6;8;8;7;8;6;4;7;1;1;56;7;1
1;2;8;9;9;9;6;7;6;7;7;6;9;8;8;6;55;7;1
0;4;7;7;7;8;7;8;7;6;7;6;4;5;3;2;55;7;1
1;5;6;6;7;5;6;8;8;8;8;7;3;8;2;4;54;7;1
0;5;9;9;10;9;9;6;7;6;7;6;9;8;4;3;54;7;1
0;2;7;6;9;8;7;6;8;8;6;5;2;6;2;1;54;7;1
0;1;6;8;8;6;8;9;8;7;8;7;9;10;2;10;53;7;1
1;0;5;6;7;7;7;7;8;7;7;7;6;8;6;9;53;7;1
0;0;7;8;7;7;7;5;6;7;7;7;7;7;2;7;53;7;1
0;6;5;5;6;7;6;6;6;8;8;7;8;3;5;3;53;7;1
0;2;5;9;9;8;7;9;8;8;6;4;2;8;1;2;53;7;1
0;0;6;7;8;6;4;7;10;8;5;7;8;9;4;1;53;7;1
1;1;8;7;8;6;9;6;8;8;6;7;5;6;6;9;52;7;1
1;2;6;6;6;6;6;7;3;6;7;6;6;4;4;7;52;7;1
1;2;8;7;8;8;7;6;7;8;7;6;6;6;2;6;52;7;1
1;2;8;10;10;10;10;8;8;8;7;6;6;6;3;3;52;7;1
1;4;9;9;10;9;10;6;8;8;7;7;7;4;9;6;51;7;1
0;2;9;9;9;9;9;7;7;7;7;6;10;9;1;7;49;7;1
1;1;8;9;7;9;5;8;8;9;9;8;9;8;1;5;49;7;1
0;1;8;8;9;9;8;8;9;7;9;5;7;3;5;1;49;7;1
1;1;7;8;8;9;8;6;8;8;8;8;7;8;5;9;48;7;1
1;10;7;5;7;7;7;7;10;10;2;8;5;1;7;7;47;7;1
1;0;6;8;8;6;6;6;7;9;7;10;7;3;6;5;47;7;1
0;5;7;7;7;7;7;7;7;8;7;7;1;7;4;7;46;7;1
0;2;4;6;8;7;9;6;7;7;7;7;9;3;7;5;46;7;1
1;5;7;7;8;7;7;7;7;7;7;7;5;3;3;5;46;7;1
0;2;8;8;7;8;8;7;8;6;8;6;8;8;3;3;45;7;1
0;7;8;7;8;8;8;7;6;6;7;6;8;8;5;2;45;7;1
1;1;6;8;9;9;8;6;9;8;7;7;7;6;7;10;44;7;1
1;2;10;8;9;9;9;8;8;8;8;8;6;8;6;9;44;7;1
0;1;6;9;8;7;7;6;8;9;9;8;7;7;5;6;44;7;1
1;4;8;7;7;8;6;7;6;6;8;6;10;3;10;9;43;7;1
0;3;7;5;3;3;7;4;5;7;6;4;6;8;8;9;43;7;1
1;3;4;5;7;6;4;7;5;3;3;7;3;10;4;4;43;7;1
0;4;7;8;75;8;7;7;8;8;6;7;5;3;5;2;43;7;1
0;4;9;8;9;8;8;8;10;7;7;7;8;9;4;1;43;7;1
0;3;10;10;10;10;10;7;7;7;9;8;7;8;1;1;42;7;1
0;2;5;7;8;7;8;8;7;8;7;7;5;6;5;7;41;7;1
0;5;3;7;6;6;5;6;8;8;6;7;4;8;6;5;39;7;1
1;8;7;5;6;7;5;7;7;8;8;8;3;5;1;2;39;7;1
0;1;9;9;8;9;8;8;10;8;8;7;2;1;1;2;39;7;1
1;2;10;8;8;9;8;8;7;8;7;7;8;8;8;7;37;7;1
1;7;7;7;6;7;6;4;9;9;7;8;7;8;7;7;37;7;1
0;3;4;9;9;6;8;6;8;8;8;7;3;9;8;2;37;7;1
0;3;8;7;6;6;6;7;7;8;2;5;7;3;5;1;37;7;1
0;1;8;8;8;8;8;7;7;7;7;7;1;8;2;5;36;7;1
1;2;7;7;9;7;7;8;9;9;7;9;4;5;6;7;35;7;1
0;3;7;8;9;8;9;6;8;8;6;6;7;5;5;5;35;7;1
1;3;6;8;8;6;6;7;8;9;8;9;8;1;3;4;35;7;1
0;2;8;9;9;7;9;7;7;9;7;7;8;2;4;1;35;7;1
0;5;7;5;7;8;7;6;8;7;7;6;9;5;5;5;34;7;1
0;2;8;8;8;8;8;7;10;7;7;7;2;2;5;5;34;7;1
0;5;5;6;6;6;6;8;10;10;8;6;4;8;3;2;34;7;1
0;1;8;6;7;8;7;7;9;9;8;8;7;3;3;2;34;7;1
0;2;6;8;9;6;8;6;7;7;6;7;6;8;8;9;33;7;1
0;3;6;8;7;7;8;9;8;8;6;7;9;1;5;8;33;7;1
0;2;3;7;8;9;6;7;7;6;8;6;4;1;4;3;33;7;1
1;1;7;8;7;8;6;8;8;8;10;8;10;3;10;9;32;7;1
0;0;8;10;9;9;7;7;8;8;8;7;4;9;9;8;32;7;1
1;0;10;10;10;10;10;8;7;7;9;7;10;9;1;6;32;7;1
1;30;8;8;7;9;6;8;7;9;8;8;1;9;6;5;32;7;1
0;2;8;8;7;8;6;7;7;7;7;7;2;4;4;2;32;7;1
0;3;9;10;10;10;10;7;7;8;8;7;9;1;2;2;32;7;1
0;5;7;8;8;7;7;8;8;6;6;5;4;8;1;1;32;7;1
0;17;9;9;9;9;9;9;8;7;8;7;2;1;10;10;31;7;1
1;3;7;7;7;6;8;7;6;7;8;5;10;5;7;9;31;7;1
1;0;5;8;8;8;8;7;7;8;7;8;8;9;8;8;31;7;1
0;3;8;8;8;5;5;10;9;10;8;9;6;8;6;5;31;7;1
1;3;10;9;10;8;9;8;8;8;5;5;5;9;5;5;31;7;1
0;0;7;7;8;7;8;5;8;8;8;8;3;7;7;4;31;7;1
1;3;5;5;6;5;7;7;6;8;6;9;6;7;6;4;31;7;1
1;20;9;8;9;10;8;7;7;6;7;6;8;9;3;4;31;7;1
0;2;8;8;8;8;8;8;6;8;6;7;5;9;2;2;31;7;1
0;8;8;9;9;9;8;5;7;8;7;7;8;1;1;2;31;7;1
0;3;7;6;7;8;5;7;7;7;6;8;5;8;1;1;31;7;1
0;5;6;7;6;7;7;8;7;6;8;5;7;8;6;6;29;7;1
1;4;6;6;7;7;7;8;7;8;6;7;5;9;5;5;29;7;1
0;4;8;7;8;6;7;6;6;7;7;7;3;7;7;4;29;7;1
1;7;7;7;8;8;8;7;6;8;9;8;8;5;9;8;28;7;1
1;1;8;8;8;8;6;8;8;9;8;9;8;9;8;8;28;7;1
1;10;10;10;10;10;10;8;9;9;7;6;8;9;8;8;28;7;1
1;4;6;7;8;6;5;6;8;8;8;8;5;5;6;8;28;7;1
1;1;8;9;8;8;9;5;5;8;7;6;5;9;5;7;28;7;1
0;0;6;8;8;5;6;8;7;7;7;8;6;5;3;6;28;7;1
0;1;7;8;9;9;9;7;9;9;8;5;7;5;5;5;28;7;1
1;1;7;9;9;8;5;7;8;9;9;9;5;6;1;2;28;7;1
0;1;10;9;9;7;9;6;8;7;5;6;7;3;5;1;27;7;1
0;9;8;9;9;8;9;10;10;8;10;6;6;1;1;8;26;7;1
1;5;9;8;9;8;8;5;7;7;6;6;7;6;7;7;26;7;1
0;2;7;7;8;8;8;9;9;8;9;9;3;7;3;4;25;7;1
1;7;6;7;7;10;6;7;8;9;9;7;5;9;8;9;24;7;1
0;1;8;8;8;8;8;8;8;8;8;7;7;2;5;7;24;7;1
1;0;8;7;7;8;8;7;6;8;5;5;1;3;5;10;23;7;1
0;0;7;6;8;5;5;8;7;7;8;8;9;9;2;9;23;7;1
1;5;10;8;10;9;9;7;6;7;7;7;10;7;1;10;22;7;1
1;4;5;5;7;6;6;8;8;8;8;8;6;6;3;3;22;7;1
1;1;10;9;9;9;7;6;8;8;7;7;7;7;3;9;21;7;1
1;4;8;6;7;8;6;6;8;9;6;6;1;10;8;8;21;7;1
1;4;8;9;9;8;8;6;9;10;7;10;10;9;10;7;21;7;1
0;6;5;5;5;10;8;6;6;6;7;7;8;3;5;4;21;7;1
1;4;7;6;6;7;7;7;7;7;8;9;8;5;8;8;19;7;1
1;4;9;8;8;8;8;8;8;7;7;7;8;8;4;8;19;7;1
0;3;9;10;10;6;9;6;6;6;5;5;4;8;4;8;19;7;1
0;1;7;8;7;7;7;7;8;7;7;7;3;9;10;10;18;7;1
0;3;6;8;8;10;9;7;9;9;9;9;9;1;5;8;18;7;1
1;6;9;9;9;9;8;7;8;8;7;6;10;6;4;6;18;7;1
0;1;5;8;10;10;10;7;9;7;8;6;8;9;7;5;18;7;1
0;0;7;9;9;9;9;8;8;10;5;6;5;7;5;2;18;7;1
0;1;5;10;9;7;7;6;5;7;7;6;3;4;2;2;18;7;1
1;1;6;8;7;7;8;7;6;8;7;8;8;9;8;8;17;7;1
0;2;10;6;8;9;7;6;7;7;8;7;8;8;3;6;17;7;1
1;2;6;7;7;8;7;10;6;8;9;7;5;3;1;6;17;7;1
1;5;6;6;7;8;7;7;8;9;7;9;9;5;5;5;17;7;1
1;7;7;9;9;8;7;5;5;7;8;7;9;9;1;5;17;7;1
1;3;8;8;9;9;9;7;10;7;6;9;8;1;3;4;17;7;1
0;2;5;6;7;4;5;9;8;8;8;7;5;2;9;2;17;7;1
1;1;10;10;10;10;10;5;8;9;8;5;8;5;9;8;16;7;1
0;3;6;9;7;7;7;6;8;10;7;7;6;8;7;8;16;7;1
1;5;10;10;10;10;10;9;8;8;8;8;7;6;7;7;16;7;1
0;2;8;7;7;7;7;7;7;7;7;7;5;7;5;2;16;7;1
0;6;8;9;8;8;8;8;8;8;8;8;7;8;3;1;16;7;1
